imo,neo_transit,direction,grp,StandardVesselType,GrossTonnage,lock_in,lock_out,anchoring_in,anchoring_out,direct_transit,waiting_time,service_time
1001178.0,0,South,1,Yacht,702.0,2024-01-09 22:06:09,2024-01-10 04:38:10,2024-01-03 13:50:00,2024-01-03 13:50:00,True,0.0,6.533611111111111
1002275.0,0,North,1,Yacht,494.0,2024-01-31 01:38:49,2024-01-31 09:20:48,2024-01-29 11:40:00,2024-01-29 17:00:00,True,5.333333333333333,7.699722222222222
1002275.0,0,North,2,Yacht,494.0,2024-03-18 22:47:25,2024-03-19 05:17:23,2024-03-15 20:20:00,2024-03-18 18:30:00,True,70.16666666666667,6.499444444444444
1002275.0,0,South,1,Yacht,494.0,2024-01-22 19:55:35,2024-01-23 04:10:49,2024-01-22 16:40:00,2024-01-22 18:50:00,True,2.1666666666666665,8.25388888888889
1002275.0,0,South,2,Yacht,494.0,2024-02-15 19:32:57,2024-02-16 03:09:17,2024-02-15 17:20:00,2024-02-15 18:20:00,True,1.0,7.605555555555555
1002342.0,0,North,1,Yacht,489.0,2023-04-12 01:05:16,2023-04-12 07:28:39,2023-04-10 23:20:00,2023-04-11 20:20:00,True,21.0,6.389722222222222
1002342.0,0,South,1,Yacht,489.0,2023-01-03 20:57:19,2023-01-04 03:58:42,2023-01-02 13:30:00,2023-01-03 20:00:00,True,30.5,7.023055555555556
1002378.0,0,North,1,Yacht,767.0,2022-12-13 00:22:08,2022-12-13 05:53:49,2022-12-11 12:50:00,2022-12-12 23:30:00,True,34.666666666666664,5.5280555555555555
1004625.0,0,North,1,Yacht,1103.0,2023-04-24 23:37:46,2023-04-25 06:31:05,2023-04-22 19:50:00,2023-04-24 22:00:00,True,50.166666666666664,6.8886111111111115
1004625.0,0,South,1,Yacht,1103.0,2023-03-22 22:20:40,2023-03-24 04:12:04,,,True,,29.856666666666666
1004792.0,0,North,1,Yacht,817.0,2024-09-03 11:52:02,2024-09-04 10:13:09,2024-09-02 13:30:00,2024-09-03 10:00:00,True,20.5,22.351944444444445
1005435.0,0,North,1,Yacht,499.0,2023-09-12 00:03:13,2023-09-12 06:13:56,2023-09-08 19:30:00,2023-09-11 20:00:00,True,72.5,6.1786111111111115
